name,state,fips,census_region,pop,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,winner,partywinner16,per_dem_2012,per_gop_2012,diff_2012,winner12,partywinner12
Autauga County,AL,1001,South,55395,5908,18110,24661,0.23956855,0.734357893,12202,Trump,Republican,0.265757664,0.726337362,11012,Romney,Republican
Baldwin County,AL,1003,South,200111,18409,72780,94090,0.195653098,0.77351472,54371,Trump,Republican,0.215665741,0.773897491,47443,Romney,Republican
Barbour County,AL,1005,South,26887,4848,5431,10390,0.466602502,0.522714148,583,Trump,Republican,0.512522908,0.483375513,334,Obama,Democrat
Bibb County,AL,1007,South,22506,1874,6733,8748,0.214220393,0.769661637,4859,Trump,Republican,0.262185675,0.730663806,3931,Romney,Republican
Blount County,AL,1009,South,57719,2150,22808,25384,0.084699023,0.898518752,20658,Trump,Republican,0.123477898,0.864929108,17780,Romney,Republican
Bullock County,AL,1011,South,10764,3530,1139,4701,0.750904063,0.242288875,2391,Clinton,Democrat,0.763068823,0.235050771,2808,Obama,Democrat
Butler County,AL,1013,South,20296,3716,4891,8685,0.427864134,0.563154865,1175,Trump,Republican,0.460508278,0.535800907,714,Romney,Republican
Calhoun County,AL,1015,South,115916,13197,32803,47376,0.278558764,0.692396994,19606,Trump,Republican,0.335207612,0.65467128,14772,Romney,Republican
Chambers County,AL,1017,South,34076,5763,7803,13778,0.418275512,0.56633764,2040,Trump,Republican,0.470608433,0.521631644,743,Romney,Republican
Cherokee County,AL,1019,South,26037,1524,8809,10503,0.1451014,0.838712749,7285,Trump,Republican,0.217805553,0.767749206,5368,Romney,Republican
Chilton County,AL,1021,South,43931,2909,15068,18255,0.159353602,0.825417694,12159,Trump,Republican,0.19450499,0.797866238,10519,Romney,Republican
Choctaw County,AL,1023,South,13323,3109,4102,7268,0.427765548,0.564391855,993,Trump,Republican,0.475204018,0.521029504,365,Romney,Republican
Clarke County,AL,1025,South,24945,5712,7109,12936,0.441558442,0.549551639,1397,Trump,Republican,0.45685976700000003,0.539741086,1146,Romney,Republican
Clay County,AL,1027,South,13552,1234,5230,6572,0.187766281,0.795800365,3996,Trump,Republican,0.266566265,0.723192771,3032,Romney,Republican
Cleburne County,AL,1029,South,15080,684,5738,6532,0.104715248,0.878444581,5054,Trump,Republican,0.15407807,0.836083783,4298,Romney,Republican
Coffee County,AL,1031,South,50909,4194,15825,20513,0.204455711,0.771462,11631,Trump,Republican,0.248490997,0.742480345,9739,Romney,Republican
Colbert County,AL,1033,South,54543,7296,16718,24626,0.296272233,0.678875985,9422,Trump,Republican,0.391888423,0.596004107,4771,Romney,Republican
Conecuh County,AL,1035,South,12670,3069,3413,6543,0.469050894,0.521626165,344,Trump,Republican,0.506345359,0.489662056,117,Obama,Democrat
Coosa County,AL,1037,South,10886,1780,3376,5223,0.340800306,0.646371817,1596,Trump,Republican,0.417318329,0.577531947,840,Romney,Republican
Covington County,AL,1039,South,37914,2379,13222,15818,0.15039828,0.835883171,10843,Trump,Republican,0.204670775,0.788063574,8993,Romney,Republican
Crenshaw County,AL,1041,South,13977,1663,4511,6252,0.265994882,0.721529111,2848,Trump,Republican,0.319450944,0.674777726,2278,Romney,Republican
Cullman County,AL,1043,South,81289,3730,32734,37278,0.100059016,0.878105049,29004,Trump,Republican,0.146331907,0.841822895,23075,Romney,Republican
Dale County,AL,1045,South,49484,4408,13798,18617,0.236772842,0.741150561,9390,Trump,Republican,0.284782492,0.70643092,7822,Romney,Republican
Dallas County,AL,1047,South,41711,12826,5784,18730,0.684783769,0.308809397,7042,Clinton,Democrat,0.697315629,0.300152847,8315,Obama,Democrat
DeKalb County,AL,1049,South,71065,3682,21779,26086,0.141148509,0.834892279,18097,Trump,Republican,0.219570506,0.768224142,13081,Romney,Republican
Elmore County,AL,1051,South,80977,8436,27619,36905,0.228586912,0.748380978,19183,Trump,Republican,0.252257336,0.739926637,17283,Romney,Republican
Escambia County,AL,1053,South,37733,4698,10282,15213,0.308814829,0.675869322,5584,Trump,Republican,0.369201726,0.624528047,3787,Romney,Republican
Etowah County,AL,1055,South,103531,10350,32132,43474,0.238073331,0.739108433,21782,Trump,Republican,0.301059073,0.684914097,16310,Romney,Republican
Fayette County,AL,1057,South,16874,1358,6705,8196,0.165690581,0.818081991,5347,Trump,Republican,0.227881699,0.762639029,4231,Romney,Republican
