Location,Type,N_Rent_Households_18,Overall_Burden_Rate_18,Moderate_Burden_Rate_18,Severe_Burden_Rate_18,N_Burden_Overall_18,N_Burden_Moderate_18,N_Burden_Severe_18,Median_Rent_18,Median_Renter_Income_18,N_Rent_Households_17,Overall_Burden_Rate_17,Moderate_Burden_Rate_17,Severe_Burden_Rate_17,N_Burden_Overall_17,N_Burden_Moderate_17,N_Burden_Severe_17,Median_Rent_17,Median_Renter_Income_17,N_Rent_Households_08,Overall_Burden_Rate_08,Moderate_Burden_Rate_08,Severe_Burden_Rate_08,N_Burden_Overall_08,N_Burden_Moderate_08,N_Burden_Severe_08,Median_Rent_08,Median_Renter_Income_08,N_Rent_Households_change_17_18,Overall_Burden_Rate_change_17_18,Moderate_Burden_Rate_change_17_18,Severe_Burden_Rate_change_17_18,N_Burden_Overall_change_17_18,N_Burden_Moderate_change_17_18,N_Burden_Severe_change_17_18,Median_Rent_change_17_18,Median_Renter_Income_change_17_18,N_Rent_Households_change_08_18,Overall_Burden_Rate_change_08_18,Moderate_Burden_Rate_change_08_18,Severe_Burden_Rate_change_08_18,N_Burden_Overall_change_08_18,N_Burden_Moderate_change_08_18,N_Burden_Severe_change_08_18,Median_Rent_change_08_18
National,National,40717233,0.497,0.249,0.248,20232414,10144074,10088340,1058,40531,0.495,0.249,0.247,19933414,10008746,9924668,1041,40057,34969703,0.498,0.247,0.251,17408514,8631963,8776551,965,37345,479721,0.002,0,0.001,299000,135328,163672,0.016,0.012,5747530,-0.001,0.002,-0.003,2823900,1512111,1311789,0.096,0.085
Alabama,State,509079,0.479,0.235,0.244,243902,119667,124235,788,29458,0.474,0.232,0.242,240266,117674,122592,771,28662,452148,0.481,0.237,0.244,217509,107313,110196,731,27136,2408,0.005,0.003,0.002,3636,1993,1643,0.021,0.028,56931,-0.002,-0.002,0,26393,12354,14039,0.078,0.086
Alaska,State,78973,0.432,0.24,0.191,34077,18964,15113,1177,53355,0.458,0.253,0.205,38398,21230,17168,1235,53769,73984,0.427,0.271,0.156,31605,20031,11574,1116,54000,-4814,-0.027,-0.013,-0.014,-4321,-2266,-2055,-0.047,-0.008,4989,0.004,-0.031,0.035,2472,-1067,3539,0.054,-0.012
Arizona,State,859185,0.471,0.25,0.221,404790,215205,189585,1036,41987,0.483,0.245,0.237,403789,205154,198635,1049,41167,671054,0.502,0.258,0.243,336543,173295,163248,996,38848,22576,-0.012,0.005,-0.017,1001,10051,-9050,-0.013,0.02,188131,-0.03,-0.008,-0.023,68247,41910,26337,0.04,0.081
Arkansas,State,354307,0.458,0.238,0.221,162386,84175,78211,731,29959,0.445,0.242,0.203,158311,85983,72328,731,30211,318929,0.482,0.242,0.24,153772,77198,76574,697,27147,-1553,0.013,-0.004,0.017,4075,-1808,5883,0,-0.008,35378,-0.024,-0.004,-0.019,8614,6977,1637,0.049,0.104
California,State,5615217,0.546,0.266,0.28,3065668,1491850,1573818,1520,52348,0.552,0.272,0.28,3086559,1519191,1567368,1488,51875,4986796,0.547,0.268,0.279,2727137,1334027,1393110,1311,48158,26643,-0.006,-0.006,0,-20891,-27341,6450,0.021,0.009,628421,-0.001,-0.002,0.001,338531,157823,180708,0.159,0.087
Colorado,State,723615,0.513,0.269,0.244,371243,194537,176706,1289,47305,0.519,0.277,0.242,366597,195893,170704,1275,47013,582151,0.501,0.255,0.246,291576,148585,142991,958,38336,17316,-0.006,-0.009,0.003,4646,-1356,6002,0.011,0.006,141464,0.012,0.014,-0.001,79667,45952,33715,0.345,0.234
Connecticut,State,445313,0.526,0.255,0.271,234172,113369,120803,1171,40461,0.514,0.253,0.261,221397,108986,112411,1157,41933,388118,0.512,0.248,0.264,198807,96248,102559,1132,42122,14794,0.012,0.001,0.01,12775,4383,8392,0.012,-0.035,57195,0.014,0.007,0.007,35365,17121,18244,0.034,-0.039
Delaware,State,99834,0.526,0.257,0.269,52534,25700,26834,1108,39165,0.487,0.243,0.244,45346,22605,22741,1117,37566,80447,0.514,0.265,0.249,41335,21340,19995,1107,41672,6670,0.039,0.015,0.025,7188,3095,4093,-0.008,0.043,19387,0.012,-0.008,0.02,11199,4360,6839,0.001,-0.06
District of Columbia,State,156172,0.465,0.224,0.24,72598,35048,37550,1516,56449,0.479,0.23,0.249,73007,35091,37916,1542,57302,135421,0.475,0.227,0.248,64286,30732,33554,1136,43992,3784,-0.014,-0.006,-0.008,-409,-43,-366,-0.017,-0.015,20751,-0.01,-0.003,-0.007,8312,4316,3996,0.335,0.283
